expiration,strike,GEX
2026-06-03,245,0.09465931755520002
2026-06-03,247,0.015697984435200003
2026-06-05,185,1.7816410935347202
2026-06-05,187,-0.11785745010943999
2026-06-05,190,-1.51572289413376
2026-06-05,192,-0.6702992212736002
2026-06-05,195,-22.51787713382912
2026-06-05,197,-1.1857116627865596
2026-06-05,200,-6.408916637649921
2026-06-05,202,-2.80498468487936
2026-06-05,205,-8.014301893332478
2026-06-05,207,-3.1600278373529602
2026-06-05,210,5.937420839680003
2026-06-05,212,7.92325829771776
2026-06-05,215,45.158768953495034
2026-06-05,217,67.50267187844098
2026-06-05,220,54.71253871021056
2026-06-05,222,40.08465240378112
2026-06-05,225,68.13654989018112
2026-06-05,227,3.2373203757312004
2026-06-05,230,16.190698439759363
2026-06-05,232,2.0155222051814405
2026-06-05,235,6.743491126935039
2026-06-05,237,2.64514809020672
2026-06-05,240,6.442151109201921
2026-06-05,242,0.36833222698496
2026-06-05,245,1.0683586223872004
2026-06-05,247,0.2823044438144
2026-06-08,185,-0.022415590387199997
2026-06-08,187,-0.00020270670591999998
2026-06-08,190,0.16954294600960004
2026-06-08,192,-0.01441103255808
2026-06-08,195,-0.1308636780544
2026-06-08,197,-0.041484163072
2026-06-08,200,-0.427216168
2026-06-08,202,-0.025564615493120002
2026-06-08,205,-0.41079692482047997
2026-06-08,207,-0.16193908748288005
2026-06-08,210,0.6603005951513599
2026-06-08,212,0.10529434845183999
2026-06-08,215,3.66820883498496
2026-06-08,217,0.45435058193664
2026-06-08,220,2.63009122465536
2026-06-08,222,0.10945219297792
2026-06-08,225,1.5483963866624002
2026-06-08,227,0.08371315543552
2026-06-08,230,0.92185824332032
2026-06-08,232,0.03405472659456
2026-06-08,235,0.6666127876915201
2026-06-08,237,0.0033941587968000005
2026-06-08,240,0.19186425420800005
2026-06-08,242,0.0065714685593600015
2026-06-08,245,0.04453419187968
2026-06-08,247,0.0007778280575999999
2026-06-10,185,-0.011313862656000002
2026-06-10,187,-0.00993262859008
2026-06-10,190,-0.13127851968512
2026-06-10,192,-0.00033470177024000006
2026-06-10,195,-0.16432914096896
2026-06-10,197,-0.02168961753344
2026-06-10,200,-0.32825286852608004
2026-06-10,202,-0.003563866736640002
2026-06-10,205,-0.11480270719232001
2026-06-10,207,-0.009758206540799999
2026-06-10,210,0.5990218865408001
2026-06-10,212,0.05889336923392001
2026-06-10,215,1.08352862656512
2026-06-10,217,0.25615999286016
2026-06-10,220,0.8302630969011199
2026-06-10,222,0.09085031712768
2026-06-10,225,0.8754148371174401
2026-06-10,227,0.025739037542400003
2026-06-10,230,0.78481908189952
2026-06-10,232,0.13461610916864
2026-06-10,235,0.70540990838272
2026-06-10,237,0.01376991367424
2026-06-10,240,0.15004067525632
2026-06-10,242,0.0026304730675199995
2026-06-10,245,0.020482805516800002
2026-06-10,247,0.00031584533248
2026-06-12,185,-0.35774905129215995
2026-06-12,187,0.0
2026-06-12,190,-1.0921648750592003
2026-06-12,192,-0.40338634478080004
2026-06-12,195,-3.0597398731264
2026-06-12,197,0.09268881980927995
2026-06-12,200,3.1649305111705623
2026-06-12,202,-1.2950554312473601
2026-06-12,205,-2.948911160192001
2026-06-12,207,-0.6836637215359999
2026-06-12,210,-5.027079165721599
2026-06-12,212,4.453900027130881
2026-06-12,215,6.362562799526399
2026-06-12,217,1.1241831063756798
2026-06-12,220,23.06795713616384
2026-06-12,222,1.5013024333568001
2026-06-12,225,18.93515867353856
2026-06-12,227,1.2570644232704005
2026-06-12,230,3.952752480783361
2026-06-12,232,0.32279864390400004
2026-06-12,235,3.8946699383731205
2026-06-12,237,0.20284812920319997
2026-06-12,240,2.6002414836812804
2026-06-12,242,0.0
